ID,label
0,9
1,4
2,1
3,7
4,1
5,9
6,1
7,0
8,0
9,0
10,8
11,4
12,3
13,3
14,2
15,1
16,4
17,9
18,3
19,9
20,5
21,9
22,2
23,2
24,5
25,4
26,5
27,3
28,3
29,8
30,7
31,5
32,9
33,6
34,5
35,6
36,6
37,0
38,8
39,2
40,5
41,4
42,4
43,9
44,6
45,5
46,1
47,5
48,8
49,6
50,5
51,6
52,7
53,4
54,5
55,2
56,6
57,9
58,7
59,1
60,9
61,6
62,5
63,3
64,8
65,4
66,2
67,1
68,4
69,9
70,0
71,3
72,7
73,7
74,9
75,8
76,2
77,5
78,0
79,1
80,2
81,8
82,9
83,5
84,6
85,8
86,6
87,5
88,7
89,0
90,1
91,4
92,3
93,9
94,5
95,5
96,9
97,4
98,3
99,4
100,7
101,7
102,8
103,4
104,1
105,0
106,5
107,6
108,5
109,5
110,5
111,8
112,2
113,7
114,1
115,8
116,5
117,7
118,5
119,2
120,2
121,0
122,0
123,7
124,5
125,2
126,9
127,2
128,2
129,2
130,8
131,2
132,4
133,3
134,5
135,7
136,9
137,7
138,8
139,6
140,1
141,1
142,8
143,8
144,2
145,4
146,7
147,1
148,4
149,6
150,1
151,0
152,1
153,6
154,2
155,5
156,6
157,6
158,3
159,0
160,8
161,1
162,1
163,7
164,7
165,8
166,1
167,3
168,3
169,2
170,1
171,6
172,3
173,5
174,1
175,7
176,4
177,5
178,0
179,3
180,1
181,6
182,4
183,6
184,1
185,6
186,6
187,8
188,5
189,3
190,8
191,9
192,9
193,8
194,1
195,3
196,4
197,1
198,4
199,8
200,3
201,4
202,4
203,8
204,0
205,3
206,6
207,0
208,9
209,7
210,3
211,6
212,4
213,8
214,1
215,8
216,3
217,4
218,3
219,5
220,2
221,9
222,3
223,9
224,4
225,4
226,3
227,2
228,5
229,8
230,1
231,5
232,0
233,1
234,1
235,8
236,5
237,2
238,8
239,0
240,8
241,4
242,3
243,1
244,5
245,6
246,7
247,6
248,4
249,2
250,0
251,2
252,3
253,5
254,0
255,7
256,0
257,7
258,2
259,7
260,3
261,0
262,5
263,3
264,4
265,6
266,9
267,2
268,7
269,1
270,7
271,7
272,0
273,1
274,4
275,2
276,1
277,1
278,7
279,4
280,8
281,0
282,7
283,9
284,4
285,6
286,3
287,4
288,6
289,6
290,7
291,9
292,3
293,7
294,3
295,7
296,5
297,1
298,3
299,5
300,7
301,3
302,1
303,4
304,0
305,3
306,7
307,0
308,4
309,8
310,3
311,8
312,4
313,5
314,8
315,1
316,7
317,1
318,2
319,4
320,6
321,9
322,2
323,6
324,9
325,9
326,7
327,4
328,4
329,1
330,1
331,2
332,7
333,1
334,7
335,6
336,8
337,7
338,2
339,0
340,9
341,8
342,2
343,9
344,2
345,0
346,6
347,9
348,1
349,2
350,8
351,5
352,0
353,0
354,5
355,6
356,2
357,4
358,4
359,1
360,2
361,5
362,5
363,9
364,0
365,8
366,0
367,3
368,4
369,8
370,1
371,7
372,2
373,2
374,2
375,8
376,3
377,7
378,0
379,2
380,4
381,3
382,8
383,4
384,1
385,3
386,8
387,6
388,0
389,1
390,6
391,9
392,3
393,2
394,1
395,1
396,6
397,1
398,5
399,9
400,5
401,7
402,8
403,7
404,4
405,5
406,0
407,4
408,1
409,1
410,6
411,4
412,5
413,1
414,8
415,5
416,2
417,2
418,5
419,2
420,0
421,5
422,5
423,0
424,0
425,3
426,9
427,0
428,4
429,1
430,6
431,1
432,0
433,5
434,1
435,5
436,7
437,0
438,7
439,6
440,2
441,6
442,7
443,4
444,5
445,7
446,4
447,9
448,7
449,3
450,2
451,6
452,5
453,4
454,7
455,1
456,4
457,5
458,7
459,6
460,4
461,7
462,4
463,7
464,2
465,7
466,1
467,1
468,8
469,0
470,3
471,3
472,5
473,9
474,9
475,9
476,5
477,2
478,8
479,9
480,7
481,2
482,5
483,9
484,8
485,0
486,7
487,3
488,8
489,3
490,5
491,1
492,8
493,9
494,9
495,1
496,3
497,7
498,8
499,0
500,1
501,8
502,1
503,7
504,3
505,6
506,9
507,5
508,9
509,3
510,1
511,2
512,0
513,1
514,7
515,1
516,8
517,3
518,2
519,5
520,6
521,6
522,9
523,4
524,2
525,3
526,7
527,2
528,3
529,2
530,1
531,2
532,4
533,1
534,7
535,2
536,6
537,9
538,0
539,8
540,5
541,0
542,8
543,5
544,9
545,5
546,8
547,1
548,2
549,8
550,3
551,4
552,6
553,8
554,5
555,1
556,7
557,0
558,7
559,5
560,7
561,2
562,4
563,8
564,8
565,9
566,8
567,2
568,3
569,9
570,4
571,8
572,5
573,3
574,6
575,3
576,0
577,6
578,3
579,5
580,3
581,9
582,3
583,4
584,8
585,1
586,3
587,0
588,2
589,8
590,3
591,6
592,5
593,9
594,1
595,1
596,8
597,4
598,7
599,2
600,8
601,1
602,4
603,1
604,5
605,8
606,8
607,6
608,6
609,2
610,5
611,0
612,9
613,0
614,9
615,6
616,2
617,2
618,4
619,8
620,8
621,8
622,4
623,9
624,2
625,8
626,4
627,2
628,3
629,0
630,7
631,4
632,8
633,8
634,5
635,9
636,0
637,9
638,5
639,1
640,5
641,4
642,7
643,0
644,6
645,9
646,9
647,7
648,6
649,6
650,2
651,2
652,7
653,0
654,9
655,9
656,5
657,2
658,2
659,9
660,4
661,0
662,7
663,6
664,2
665,9
666,4
667,6
668,4
669,8
670,5
671,1
672,8
673,0
674,2
675,4
676,1
677,4
678,9
679,7
680,7
681,7
682,1
683,1
684,8
685,1
686,9
687,5
688,2
689,3
690,9
691,0
692,6
693,2
694,4
695,7
696,2
697,3
698,5
699,0
700,1
701,2
702,5
703,4
704,6
705,4
706,9
707,6
708,9
709,6
710,6
711,2
712,9
713,3
714,2
715,8
716,1
717,3
718,1
719,9
720,5
721,9
722,5
723,4
724,4
725,3
726,4
727,5
728,7
729,8
730,2
731,0
732,7
733,5
734,2
735,5
736,5
737,9
738,6
739,3
740,7
741,9
742,1
743,1
744,7
745,1
746,5
747,8
748,8
749,9
750,5
751,6
752,4
753,6
754,1
755,0
756,4
757,9
758,4
759,2
760,9
761,5
762,4
763,3
764,7
765,7
766,4
767,0
768,2
769,4
770,4
771,6
772,3
773,2
774,2
775,6
776,3
777,3
778,0
779,8
780,4
781,5
782,2
783,3
784,3
785,6
786,5
787,4
788,6
789,2
790,0
791,7
792,9
793,9
794,7
795,8
796,2
797,6
798,1
799,7
800,9
801,2
802,5
803,9
804,3
805,3
806,1
807,6
808,9
809,0
810,1
811,6
812,1
813,7
814,1
815,7
816,3
817,5
818,5
819,0
820,0
821,7
822,1
823,0
824,7
825,8
826,7
827,8
828,2
829,1
830,4
831,1
832,3
833,3
834,2
835,9
836,8
837,2
838,1
839,0
840,0
841,2
842,8
843,9
844,8
845,6
846,2
847,5
848,6
849,7
850,7
851,4
852,8
853,9
854,8
855,8
856,1
857,1
858,3
859,1
860,1
861,3
862,4
863,0
864,1
865,8
866,1
867,6
868,4
869,4
870,9
871,8
872,1
873,0
874,0
875,1
876,0
877,4
878,7
879,3
880,7
881,2
882,4
883,2
884,8
885,7
886,5
887,4
888,3
889,8
890,4
891,3
892,1
893,5
894,3
895,8
896,3
897,5
898,8
899,8
900,3
901,7
902,6
903,7
904,4
905,0
906,7
907,1
908,1
909,3
910,9
911,7
912,1
913,7
914,6
915,2
916,3
917,1
918,1
919,9
920,5
921,1
922,4
923,2
924,0
925,6
926,9
927,8
928,9
929,2
930,9
931,2
932,0
933,6
934,0
935,0
936,2
937,9
938,8
939,4
940,3
941,0
942,3
943,5
944,8
945,9
946,9
947,1
948,6
949,6
950,0
951,4
952,2
953,8
954,3
955,8
956,0
957,3
958,4
959,8
960,3
961,1
962,7
963,7
964,1
965,1
966,4
967,7
968,5
969,6
970,8
971,7
972,4
973,7
974,8
975,7
976,0
977,0
978,0
979,8
980,2
981,5
982,5
983,8
984,1
985,2
986,3
987,3
988,1
989,3
990,7
991,6
992,2
993,2
994,3
995,4
996,8
997,0
998,8
999,7
1000,9
1001,4
1002,5
1003,2
1004,8
1005,0
1006,0
1007,1
1008,2
1009,0
1010,4
1011,4
1012,9
1013,4
1014,4
1015,9
1016,0
1017,5
1018,6
1019,9
1020,2
1021,0
1022,4
1023,4
1024,9
1025,8
1026,8
1027,9
1028,5
1029,2
1030,3
1031,2
1032,1
1033,8
1034,3
1035,1
1036,1
1037,3
1038,6
1039,7
1040,2
1041,2
1042,0
1043,9
1044,7
1045,3
1046,4
1047,9
1048,1
1049,4
1050,1
1051,2
1052,1
1053,3
1054,2
1055,8
1056,7
1057,7
1058,9
1059,1
1060,0
1061,2
1062,3
1063,4
1064,4
1065,1
1066,1
1067,0
1068,2
1069,1
1070,4
1071,0
1072,6
1073,3
1074,3
1075,1
1076,5
1077,2
1078,8
1079,1
1080,6
1081,4
1082,1
1083,5
1084,6
1085,5
1086,9
1087,7
1088,2
1089,9
1090,8
1091,0
1092,0
1093,2
1094,4
1095,6
1096,4
1097,6
1098,9
1099,0
1100,0
1101,2
1102,7
1103,7
1104,6
1105,2
1106,4
1107,6
1108,6
1109,6
1110,5
1111,9
1112,3
1113,0
1114,0
1115,8
1116,2
1117,1
1118,0
1119,7
1120,5
1121,3
1122,3
1123,9
1124,4
1125,9
1126,2
1127,9
1128,5
1129,4
1130,2
1131,3
1132,3
1133,1
1134,8
1135,8
1136,8
1137,3
1138,7
1139,8
1140,3
1141,5
1142,4
1143,9
1144,1
1145,3
1146,3
1147,1
1148,7
1149,5
1150,8
1151,1
1152,1
1153,8
1154,1
1155,2
1156,8
1157,9
1158,8
1159,3
1160,3
1161,9
1162,6
1163,7
1164,1
1165,3
1166,6
1167,0
1168,7
1169,1
1170,2
1171,4
1172,7
1173,5
1174,4
1175,2
1176,8
1177,1
1178,8
1179,1
1180,0
1181,0
1182,0
1183,6
1184,1
1185,4
1186,6
1187,8
1188,2
1189,2
1190,3
1191,9
1192,6
1193,8
1194,5
1195,8
1196,9
1197,9
1198,3
1199,1
1200,0
1201,3
1202,4
1203,5
1204,3
1205,6
1206,6
1207,2
1208,5
1209,6
1210,4
1211,5
1212,5
1213,1
1214,3
1215,1
1216,7
1217,3
1218,5
1219,6
1220,0
1221,5
1222,7
1223,3
1224,1
1225,7
1226,0
1227,1
1228,3
1229,7
1230,5
1231,1
1232,2
1233,7
1234,3
1235,3
1236,9
1237,6
1238,7
1239,3
1240,6
1241,5
1242,5
1243,4
1244,6
1245,0
1246,2
1247,6
1248,9
1249,4
1250,2
1251,3
1252,6
1253,7
1254,0
1255,8
1256,3
1257,7
1258,9
1259,1
1260,3
